City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,kaeo,-35.1,173.78,59.0,100,2,6.85,NZ,1581532438
187,port-gentil,-0.72,8.78,86.0,74,75,6.93,GA,1581532440
188,petropavlovsk-kamchatskiy,53.05,158.65,14.0,61,0,8.95,RU,1581532442
189,moose factory,51.26,-80.61,-9.4,69,90,17.22,CA,1581532444
190,chapais,49.78,-74.85,23.0,85,90,14.99,CA,1581532446
191,cortland,42.6,-76.08,39.0,86,1,9.17,US,1581532448
192,vestmannaeyjar,63.44,-20.27,30.2,63,75,5.82,IS,1581532450
193,port moresby,-9.44,147.18,81.18,84,76,27.83,PG,1581532453
194,kozhva,65.11,57.05,23.13,91,100,11.27,RU,1581532455
195,sao raimundo nonato,-9.02,-42.7,89.58,43,2,6.31,BR,1581532457
196,sangar,63.92,127.47,-16.4,99,100,2.64,RU,1581532459
197,businga,3.33,20.88,77.61,30,59,0.74,CD,1581532461
198,augusto correa,-1.02,-46.63,79.74,92,97,8.05,BR,1581532463
199,aklavik,68.22,-135.01,-22.0,66,20,4.7,CA,1581532465
200,lagunas,-5.23,-75.68,85.14,61,87,1.54,PE,1581532467
201,chokurdakh,70.63,147.92,-26.75,76,100,1.03,RU,1581532469
202,matara,5.95,80.54,78.39,75,0,9.15,LK,1581532471
203,cockburn town,21.46,-71.14,82.4,65,40,17.22,TC,1581532473
204,codrington,-38.27,141.97,64.45,92,91,22.84,AU,1581532475
205,galesburg,40.95,-90.37,37.0,74,90,4.7,US,1581532435
206,muros,42.78,-9.06,55.99,81,20,5.82,ES,1581532479
207,villarrobledo,39.27,-2.6,53.01,91,100,6.13,ES,1581532481
208,bentiu,9.23,29.83,80.55,12,46,5.75,SS,1581532483
209,kieta,-6.22,155.63,82.9,80,100,19.3,PG,1581532485
210,belaya,49.03,25.77,33.01,83,45,3.0,UA,1581532488
211,oranjemund,-28.55,16.43,67.62,82,64,6.67,NA,1581532490
212,malusac,14.86,120.62,77.0,77,75,2.24,PH,1581532492
213,rokiskis,55.97,25.58,35.53,90,99,14.25,LT,1581532494
214,tura,25.52,90.22,58.84,50,2,1.68,IN,1581532496
215,manono,-7.3,27.42,72.9,89,94,1.34,CD,1581532498
216,marsh harbour,26.54,-77.06,75.87,81,9,16.73,BS,1581532460
217,toamasina,-18.17,49.38,80.6,78,40,12.75,MG,1581532502
218,kisangani,0.52,25.2,79.2,45,36,0.69,CD,1581532504
219,trapani,37.83,12.67,57.99,87,59,3.69,IT,1581532506
220,paredon,16.03,-93.87,80.37,70,2,7.38,MX,1581532508
221,sarangani,5.4,125.46,81.34,79,100,20.09,PH,1581532510
222,moussoro,13.64,16.49,69.42,11,61,11.95,TD,1581532512
223,mahina,-17.51,-149.49,84.2,74,75,3.36,PF,1581532514
224,shu,43.6,73.76,37.0,55,100,8.01,KZ,1581532516
225,torbay,47.67,-52.73,30.0,92,90,27.51,CA,1581532514
226,orlik,52.52,99.83,-7.28,99,100,2.01,RU,1581532520
227,maningrida,-12.07,134.27,83.53,78,100,13.4,AU,1581532523
228,prince albert,53.2,-105.77,-14.8,56,5,6.93,CA,1581532525
229,boyolangu,-8.12,111.89,74.34,91,100,2.01,ID,1581532527
230,blackwater,-23.58,148.88,76.26,80,3,5.55,AU,1581532529
231,belaya gora,68.53,146.42,-18.63,94,100,1.81,RU,1581532531
232,yerbogachen,61.28,108.01,-13.9,92,0,8.12,RU,1581532533
233,phalodi,27.13,72.37,69.13,24,20,9.13,IN,1581532535
234,alice springs,-23.7,133.88,77.0,31,0,7.74,AU,1581532537
235,ankang,32.68,109.02,30.99,95,0,8.01,CN,1581532539
